�tem,Norte,Este,Muestra,De,Hasta,potencia,Vs (m/s),Vp (m/s),Nspt,(N1)60,SUCS,LL %,LP,IP %,W%,� �,C (Kg/cm2),? h�meda (gr/cm3),? seca (gr/cm3),Qadm. (kg/cm2),Qult. (kg/cm2),Tipo de Suelo,SST (ppm),SO4 (ppm),CL (ppm),pH (ppm),Colapso,Gravas,Arenas,Finos,tipo_ensayo,profundidad_media
SPT-1,9457280.0,535017.0,M-1,0.0,1.0,1.0,,,16.0,,CL ,,24.0,,,,,,,,,S1,,,,,,0.0,,,SPT,0.5
SPT-1,9457280.0,535017.0,M-2,1.0,2.0,1.0,,,14.0,,CL ,,,14.0,,,,,,,,S1,,,,,,,30.0,,SPT,1.5
SPT-1,9457280.0,535017.0,M-3,2.0,3.0,1.0,,,50.0,,SC ,,20.0,,,,,,,,,S1,,,,,,5.0,,,SPT,2.5
SPT-1,9457280.0,535017.0,M-4,3.0,,,,,30.0,,GC ,,,,,,,,,,,S1,,,,,,,28.0,,SPT,
SPT-2,9457272.0,535033.0,M-1,0.0,1.0,1.0,,,13.0,,SC ,,,,,,,,,,,S1,,,,,,0.0,,,SPT,0.5
SPT-2,9457272.0,535033.0,M-2,1.0,2.0,1.0,,,27.0,,SC ,,,,,,,,,,,S1,,,,,,,,,SPT,1.5
SPT-2,9457272.0,535033.0,M-3,2.0,3.0,1.0,,,45.0,,SC ,,,,108.0,,,,,,,S1,,,,,,,,39.0,SPT,2.5
SPT-2,9457272.0,535033.0,M-4,3.0,4.0,1.0,,,40.0,,SC ,,,,,,,,,,,S1,,,,,,38.0,,,SPT,3.5
SPT-2,9457272.0,535033.0,M-5,4.0,,,,,70.0,,GC ,27.0,,,,,,,,,,S1,,,,,,57.0,,,SPT,
SPT-03,9457274.0,535018.0,M-1,1.0,2.0,1.0,,,21.0,24.0,SM ,,,,,,,,,,,S1,,,,,,0.0,,,SPT,1.5
SPT-03,9457274.0,535018.0,M-2,2.0,3.0,1.0,,,27.0,28.0,SM ,,,,,,,,,,,S1,,,,,,0.0,,,SPT,2.5
SPT-03,9457274.0,535018.0,M-3,3.0,4.0,1.0,,,67.0,,SM ,,,,,,,,,,,S1,,,,,,0.0,,,SPT,3.5
SPT-03,9457274.0,535018.0,M-4,4.0,5.0,1.0,,,82.0,,SM ,,,,,,,,,,,S1,2271.0,1757.0,473.0,,,0.0,,,SPT,4.5
SPT-03,9457274.0,535018.0,M-5,5.0,6.0,1.0,,,,,GM ,,,,,,,,,,,S1,1587.0,1235.0,502.0,,,,,,SPT,5.5
SPT-04,9457270.0,535000.0,M-1,1.0,2.0,1.0,,,24.0,28.0,SM ,,,,,,,,,,,S1,,,,,,0.0,,,SPT,1.5
SPT-04,9457270.0,535000.0,M-2,2.0,3.0,1.0,,,54.0,,SM ,,,,,,,,,,,S1,,,,,,0.0,,,SPT,2.5
SPT-04,9457270.0,535000.0,M-3,3.0,4.0,1.0,,,,,SM ,,,,,,,,,,,S1,1161.0,1230.0,534.0,,,0.0,,,SPT,3.5
SPT-04,9457270.0,535000.0,M-4,4.0,5.0,1.0,,,,,GM ,,,,,,,,,,,S1,1227.0,1366.0,621.0,,,,,,SPT,4.5
